customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
TC-000001,Male,0,Yes,No,33,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,59.23,2018.28,No
TC-000002,Female,1,Yes,Yes,50,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,75.26,3806.07,No
TC-000003,Male,0,No,Yes,35,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),89.59,3154.52,No
TC-000004,Male,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),114.0,79.14,Yes
TC-000005,Male,0,Yes,No,24,Yes,No phone service,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),78.18,1890.82,No
TC-000006,Female,1,Yes,No,3,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),65.25,181.74,No
TC-000007,Male,0,Yes,No,51,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),77.01,4044.27,Yes
TC-000008,Male,0,No,No,0,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Mailed check,90.78,90.78,No
TC-000009,Male,0,No,No,30,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),78.84,2409.55,No
TC-000010,Female,0,No,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),37.84,1521.1,No
TC-000011,Male,0,No,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),37.97,1449.79,No
